product_id,product_name,product_category,product_category_tree,image_urls,product_url
4527,"Thuốc Exopadin 60mg Trường Thọ điều trị viêm mũi dị ứng, mày đay (3 vỉ x 10 viên) ",Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/IMG_0238_fc19904162.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0239_57ecd9d8e9.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0240_1a34667236.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0241_65a538e681.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0242_7f2afd520e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0243_d7cde2dd54.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0244_91719336a1.jpg***https://cms-prod.s3-sgn09.fptcloud.com/exopadin_1_c568eeb447.jpg***https://cms-prod.s3-sgn09.fptcloud.com/exopadin_2_3742e90b91.jpg,https://nhathuoclongchau.com.vn/thuoc/exopadin-60-mg-truong-tho-3-x10.html
4528,Thuốc Cetirizin 10mg Trường Thọ trị ngứa ngoài da do dị ứng (10 vỉ x 10 viên),Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/00033571_cetirizin_10mg_truong_tho_10x10_7980_622e_large_7b5a214e24.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00033571_cetirizin_10mg_truong_tho_10x10_3042_622e_large_3fa56f7ac9.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00033571_cetirizin_10mg_truong_tho_10x10_5035_622e_large_11ad481a97.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00033571_cetirizin_10mg_truong_tho_10x10_7786_622e_large_e41adc1a6b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00033571_cetirizin_10mg_truong_tho_10x10_6721_622e_large_c04d81d884.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00033571_cetirizin_10mg_truong_tho_10x10_4094_622f_large_c0ca61c063.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00033571_cetirizin_10mg_truong_tho_10x10_5615_622f_large_de2b5a1a30.jpg,https://nhathuoclongchau.com.vn/thuoc/cetirizin-10mg-truong-tho-10x10-33669.html
4529,"Thuốc Allerphast 180mg Mebiphar điều trị viêm mũi dị ứng theo mùa, mày đay mạn tính vô căn (1 vỉ x 10 viên)",Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_4471_6361_large_d69336d518.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_5974_6361_large_4a0eb65399.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_3822_6361_large_1bffa6602f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_2620_6361_large_649dad8b0a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_9580_6361_large_fad5cdbfd4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_7132_6361_large_5b8a7a488b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_8222_6361_large_e40827b8e4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_1070_6361_large_2fbc9996b6.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00000614_allerphast_180mg_6296_6361_large_9ac94f1f17.jpg,https://nhathuoclongchau.com.vn/thuoc/allerphast-180mg-4805.html
4530,"Thuốc Fefasdin 60 Khapharco điều trị viêm mũi dị ứng, mày đay mạn tính vô căn (10 vỉ x 10 viên)",Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/00028530_fefasdin_60_khapharco_10x10_5268_5fa2_large_3e92f83e0a.JPG***https://cms-prod.s3-sgn09.fptcloud.com/00028530_fefasdin_60_khapharco_10x10_1604486258_3c8dbd7ced.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00028530_fefasdin_60_khapharco_10x10_9664_5fa2_large_e260c1a428.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00028530_fefasdin_60_khapharco_10x10_2790_62ad_large_2f7a0700b4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00028530_fefasdin_60_khapharco_10x10_4786_62ad_large_1dd3730e8e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00028530_fefasdin_60_khapharco_10x10_2898_62ad_large_d6f46b8e8b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00028530_fefasdin_60_khapharco_10x10_6837_62ad_large_9ebd9170a0.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00028530_fefasdin_60_khapharco_10x10_6166_62ad_large_9d380efdb1.jpg,https://nhathuoclongchau.com.vn/thuoc/fefasdin-60-khapharco-10x10-28831.html
4531,"Thuốc Vomina Plus 50mg Medipharco phòng và điều trị triệu chứng buồn nôn, chóng mặt khi say tàu xe (25 vỉ x 4 viên)",Thuốc say tàu xe,Thuốc>>Thuốc dị ứng>>Thuốc say tàu xe,https://cms-prod.s3-sgn09.fptcloud.com/DSC_09465_05d161a1c1.jpg***https://cms-prod.s3-sgn09.fptcloud.com/Vomina_Plus_d271311c2c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09466_88c74e124c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09467_7fdf1b2ddc.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09468_cffacc768e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09469_aeb4ecf2ae.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09471_b719c5fa6d.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09472_6fc3e05249.jpg,https://nhathuoclongchau.com.vn/thuoc/vomina-plus-dimenhydrinate-50mg-medipharco-25x4-34965.html
4532,"Thuốc Fexophar 120mg TV.Pharm điều trị triệu chứng viêm mũi dị ứng, sổ mũi, hắt hơi, dị ứng da (5 vỉ x 10 viên)",Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/DSC_09867_9f89b8b27f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09868_ac07e238b9.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09869_cf138e2ccf.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09870_0b0b2a9673.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09871_edd2bd32c1.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09874_c4630195e4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09875_912d507927.jpg***https://cms-prod.s3-sgn09.fptcloud.com/fexophar_120mg_1_1849ebf597.jpg***https://cms-prod.s3-sgn09.fptcloud.com/fexophar_120mg_2_2dcaff1071.jpg,https://nhathuoclongchau.com.vn/thuoc/fexophar-120-mg-tv-pharm-5-x10.html
4533,"Thuốc Fexophar 60mg TV. Pharm điều trị triệu chứng viêm mũi dị ứng, dị ứng da, nổi mày đay (5 vỉ x 10 viên)",Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/11_ade75ecbbf.png,https://nhathuoclongchau.com.vn/thuoc/fexophar-60-mg-tv-pharm-5-x10.html
4534,"Thuốc chống dị ứng Telfast HD 180mg Sanofi giảm triệu chứng viêm mũi dị ứng, mày đay vô căn mạn tính (3 vỉ x 10 viên)",Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/DSC_07213_4ce1c8e418.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_07214_cba416f2f4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_07215_55b51ea73e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_07216_28c6941dad.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_07217_53174f616b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_07218_e761dfaed7.jpg,https://nhathuoclongchau.com.vn/thuoc/telfast-180-mg-sanofi-3-x10.html
4535,Viên nén bao phim Telfast BD 60mg Sanofi giảm hiệu quả triệu chứng dị ứng (3 vỉ x 10 viên),Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/IMG_1171_3b15756371.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_1170_6b83f9156a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_1172_534cbe155b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_1173_5b773f3d16.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_1174_22c1c424ce.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_1177_089038f0b5.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_1178_1f964fab33.jpg***https://cms-prod.s3-sgn09.fptcloud.com/telfast_bd_60mg_1_14c5ae1766.jpg***https://cms-prod.s3-sgn09.fptcloud.com/telfast_bd_60mg_2_7cdb5667bb.jpg,https://nhathuoclongchau.com.vn/thuoc/telfast-bd-60mg-sanofi-3x10-36361.html
4536,"Thuốc Cetirizin 10mg Vidipha điều trị triệu chứng viêm mũi dị ứng, mày đay (10 vỉ x 10 viên)",Thuốc chống dị ứng,Thuốc>>Thuốc dị ứng>>Thuốc chống dị ứng,https://cms-prod.s3-sgn09.fptcloud.com/IMG_2509_b389d4fb99.jpg***https://cms-prod.s3-sgn09.fptcloud.com/cetirizin_10mg_a78efefc31.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_2510_3c2e21e45a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_2511_00194667f9.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_2512_6620bee1c1.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_2513_210ce9647c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_2514_9ae88c552c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_2515_8b15b65c2d.jpg,https://nhathuoclongchau.com.vn/thuoc/cetirizin-10mg-10x10-vidiphar-14526.html
